Genre,Title,price,Stock,Star,UPC,Type,Tax,Number of reviews,desc
Travel,"1,000 Places to See Before You Die",26.08,1,5,228ba5e7577e1d49,Books,0,0,Around the World  continent by continent  here is the best the world has to offer: 1||Fore More You should read this books. Thanks
Mystery,Sharp Objects,47.82,20,4,e00eb4fd7b871a48,Books,0,0,WICKED above her hipbone  GIRL across her heart Words are like a road map to reporter Camille Preakerâs troubled past. Fresh from a brief stay at a psych hospital  Camilleâs first assignment from the second-rate daily paper where she works brings her reluctantly back to her hometown to cover the murders of two preteen girls. NASTY on her kneecap||Fore More You should read this books. Thanks
Mystery,"In a Dark, Dark Wood",19.63,18,1,19ed25f4641d5efd,Books,0,0,In a dark  dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school one day and never went back. There was a dark  dark houseUntil||Fore More You should read this books. Thanks
Mystery,The Past Never Ends,56.5,16,4,5ee94540d0749ea0,Books,0,0,A simple task  Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose only friend has died in an unexplained accidental death. Except... The police file regarding the demise of sex worker Tanya Everly has been sealed by the order of the chief of police  and no one will talk. Warned to drop the matter||Fore More You should read this books. Thanks
Mystery,A Murder in Time,16.64,16,1,f733e8c19d40ec2e,Books,0,0,Beautiful and brilliant  Kendra Donovan is a rising star at the FBI. Yet her path to professional success hits a speed bump during a disastrous raid where half her team is murdered  a mole in the FBI is uncovered and she herself is severely wounded. As soon as she recovers||Fore More You should read this books. Thanks
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,15,4,c7b5183f4d1d4efe,Books,0,0,In the village of King's Abbot  a widow's sudden suicide sparks rumors that she murdered her first husband  was being blackmailed||Fore More You should read this books. Thanks
Mystery,The Last Mile (Amos Decker #2),54.21,14,2,3bc89353f7e3a3cc,Books,0,0,In his #1 New York Times bestseller Memory Man  David Baldacci introduced the extraordinary detective Amos Decker-the man who can forget nothing. Now  Decker returns in a spectacular new thriller . . . THE LAST MILEConvicted murderer Melvin Mars is counting down the last hours before his execution--for the violent killing of his parents twenty years earlier--when he's gran In his #1 New York Times bestseller Memory Man||Fore More You should read this books. Thanks
Mystery,That Darkness (Gardiner and Renner #1),13.92,14,1,0c7b9cf2b7662b65,Books,0,0,As a forensic investigator for the Cleveland Police Department  Maggie Gardiner has seen her share of Jane Does. The latest is an unidentified female in her early teens  discovered in a local cemetery. More shocking than the girlâs injuriesâfor Maggie at leastâis the fact that no one has reported her missing. She and the detectives assigned to the case (including her cop e As a forensic investigator for the Cleveland Police Department||Fore More You should read this books. Thanks
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69,14,1,2d1e337aaf341858,Books,0,0,Sarah Hilary won the 2015 Theakston's Crime Novel of the Year with her debut  the 2014 Richard and Judy pick SOMEONE ELSE'S SKIN. She followed up with NO OTHER DARKNESS  proclaimed as 'riveting' by Lisa Gardner and 'truly mesmerising' by David Mark. Now D.I. Marnie Rome returns in her third novel.Home is where Harm lies...The young girl who causes the fatal car crash disap Sarah Hilary won the 2015 Theakston's Crime Novel of the Year with her debut||Fore More You should read this books. Thanks
Mystery,A Time of Torment (Charlie Parker #14),48.35,14,5,4416c474713ec1f5,Books,0,0,Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned  brutalized.But in his final days  with the hunters circling||Fore More You should read this books. Thanks
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73,14,2,63ee5bc46066a8a8,Books,0,0,In the debut of literature's most famous sleuth  a dead man is discovered in a bloodstained room in Brixton. The only clues are a wedding ring  a gold watch||Fore More You should read this books. Thanks
Mystery,Poisonous (Max Revere Novels #3),26.8,12,3,abdd91e96515a617,Books,0,0,Teen-aged Internet bully Ivy Lake fell off a cliff and few people cared ... except her mentally-challenged eighteen-year-old step-brother  Tommy. He loved her in spite of her cruelty. He's distraught and doesn't understand why his blended family is falling apart. After a year  the police still have no answers: Ivy could have jumped||Fore More You should read this books. Thanks
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,12,4,e7fe3bf2768602cf,Books,0,0,Murder at the 42nd Street Library opens with a murder in a second floor office of the iconic  beaux-arts flagship of the New York Public Library. Ray Ambler  the curator of the library's crime fiction collection||Fore More You should read this books. Thanks
Mystery,Most Wanted,35.28,12,3,c039f5aceb093537,Books,0,0,Lisa Scottoline delivers another searing  powerful blockbuster novel that explores hot-button issues within the framework of an intricately plotted thriller. When a woman and her husband  desperate for a baby||Fore More You should read this books. Thanks
Mystery,Hide Away (Eve Duncan #20),11.84,12,1,bddc6fd036eb6279,Books,0,0,Iris Johansen's beloved forensic sculptor Eve Duncan is back and now the stakes are higher than ever. Dramatic changes are on the horizon for Eve and Joe Quinn and their relationship may never be the same. Faced with the task of protecting Cara Delaney  a young girl with ruthless enemies who want to see her dead  Eve takes her away to the remote Scottish Highlands where th Iris Johansen's beloved forensic sculptor Eve Duncan is back and now the stakes are higher than ever. Dramatic changes are on the horizon for Eve and Joe Quinn and their relationship may never be the same. Faced with the task of protecting Cara Delaney||Fore More You should read this books. Thanks
Mystery,Boar Island (Anna Pigeon #19),59.48,12,3,49b24c6a41b82bd2,Books,0,0,Bringing you a gripping mystery  Nevada Barr transports you to the wild and dangerous landscapes of America's National Parks and is sure to appeal if you like Sue Grafton and Janet Evanovich.The eighteenth sensational crime novel from New York Times bestselling author Nevada Barr featuring fearless park ranger Anna Pigeon as she battles to solve a heinous crime set amidst Bringing you a gripping mystery  Nevada Barr transports you to the wild and dangerous landscapes of America's National Parks and is sure to appeal if you like Sue Grafton and Janet Evanovich.The eighteenth sensational crime novel from New York Times bestselling author Nevada Barr featuring fearless park ranger Anna Pigeon as she battles to solve a heinous crime set amidst the wild and dangerous landscape of a US National Park. ...more||Fore More You should read this books. Thanks
Mystery,The Widow,27.26,11,2,6159d8b187831770,Books,0,0,THE NEW YORK TIMESBESTSELLERFor fans of Gone Girl and The Girl on the Train  an electrifying thriller that will take you into the dark spaces that exist between a husband and a wife.When the police started asking questions  Jean Taylor turned into a different woman. One who enabled her and her husband to carry on||Fore More You should read this books. Thanks
Mystery,Playing with Fire,13.71,11,3,05a61a3bd8ca4149,Books,0,0,A beautiful violinist is haunted by a very old piece of music she finds in a strange antique shop in Rome.The first time Julia Ansdell picks up The Incendio Waltz  she knows itâs a strikingly unusual composition. But while playing the piece  Julia blacks out and awakens to find her young daughter implicated in acts of surprising violence. And when she travels to Venice to A beautiful violinist is haunted by a very old piece of music she finds in a strange antique shop in Rome.The first time Julia Ansdell picks up The Incendio Waltz||Fore More You should read this books. Thanks
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,7,5,9735c969c652dd89,Books,0,0,What Happened on Beale Street is an exciting addition to the Secrets of the South Mysteries from bestselling author Mary Ellis. These standalone  complex crime dramas follow a private investigator's quest to make the world a better place...solving one case at a time.A cryptic plea for help from a childhood friend sends cousins Nate and Nicki Price from New Orleans to Memph What Happened on Beale Street is an exciting addition to the Secrets of the South Mysteries from bestselling author Mary Ellis. These standalone  complex crime dramas follow a private investigator's quest to make the world a better place...solving one case at a time.A cryptic plea for help from a childhood friend sends cousins Nate and Nicki Price from New Orleans to Memphis||Fore More You should read this books. Thanks
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,7,5,20789fb17b423c4c,Books,0,0,In 1910 Toronto  while other bachelor girls perfect their domestic skills and find husbands  two friends perfect their sleuthing skills and find a murderer.Inspired by their fascination with all things Sherlock Holmes||Fore More You should read this books. Thanks
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89,7,4,4e980425468708da,Books,0,0,Quaker midwife Rose Carroll hears secrets and keeps confidences as she attends births of the rich and poor alike in an 1888 Massachusetts mill town. When the townâs world-famed carriage industry is threatened by the work of an arsonist  and a carriage factory ownerâs adult son is stabbed to death with Rose's own knitting needle  she is drawn into solving the mystery. Thing Quaker midwife Rose Carroll hears secrets and keeps conÂ­fiÂ­dences as she attends births of the rich and poor alike in an 1888 Massachusetts mill town. When the townâs world-famed carÂ­riage indusÂ­try is threatÂ­ened by the work of an arsonÂ­ist||Fore More You should read this books. Thanks
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,6,4,2da5edf8b5776c9a,Books,0,0,Poirot  a Belgian refugee of the Great War  is settling in England near the home of Emily Inglethorp||Fore More You should read this books. Thanks
Mystery,In the Woods (Dublin Murder Squad #1),38.38,6,2,6958de044cb28a84,Books,0,0,A gorgeously written novel that marks the debut of an astonishing new voice in psychological suspense.As dusk approaches a small Dublin suburb in the summer of 1984  mothers begin to call their children home. But on this warm evening  three children do not return from the dark and silent woods. When the police arrive||Fore More You should read this books. Thanks
Mystery,The Silkworm (Cormoran Strike #2),23.05,3,5,f06039c29b5891fa,Books,0,0,Private investigator Cormoran Strike returns in a new mystery from Robert Galbraith  author of the #1 international bestseller The Cuckoo's Calling.When novelist Owen Quine goes missing  his wife calls in private detective Cormoran Strike. At first||Fore More You should read this books. Thanks
Mystery,The Exiled,43.45,3,3,dd003e904727281a,Books,0,0,Can anyone ever truly outrun his past?Back in the 1980s  Wes Raney was an ambitious New York City Narcotics Detective with a growing drug habit of his own. While working undercover on a high-risk case  he made decisions that ultimately cost him not only his career||Fore More You should read this books. Thanks
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21,3,1,1be6d3b121865edb,Books,0,0,A BRILLIANT DEBUT MYSTERY IN A CLASSIC VEIN: DETECTIVE CORMORAN STRIKE INVESTIGATES A SUPERMODEL'S SUICIDE. After losing his leg to a land mine in Afghanistan  Cormoran Strike is barely scraping by as a private investigator. Strike is down to one client  and creditors are calling. He has also just broken up with his longtime girlfriend and is living in his office.Then John A BRILLIANT DEBUT MYSTERY IN A CLASSIC VEIN: DETECTIVE CORMORAN STRIKE INVESTIGATES A SUPERMODEL'S SUICIDE. After losing his leg to a land mine in Afghanistan||Fore More You should read this books. Thanks
Mystery,Extreme Prey (Lucas Davenport #26),25.4,3,3,588ba85ff11a3263,Books,0,0,The extraordinary new Lucas Davenport thriller from #1New York Timesâbestselling author and Pulitzer Prize winner John Sandford. After the events in Gathering Prey  Lucas Davenport finds himself in a very unusual situationâno longer employed by the Minnesota BCA. His friend the governor is just cranking up a presidential campaign  though||Fore More You should read this books. Thanks
Mystery,Career of Evil (Cormoran Strike #3),24.72,3,2,b461cf238506c5b8,Books,0,0,Cormoran Strike is back  with his assistant Robin Ellacott  in a mystery based around soldiers returning from war.When a mysterious package is delivered to Robin Ellacott||Fore More You should read this books. Thanks
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,1,4,b0913e67d38d5ed5,Books,0,0,The No.1 ladies' detective agency consists of one woman  the engaging and sassy Precious Ramotswe  who sets up shop in Gabarone||Fore More You should read this books. Thanks
Mystery,The Girl You Lost,12.29,1,5,4280ac3eab57aa5d,Books,0,0,Eighteen years ago your baby daughter was snatched. Today  she came back. A sinister and darkly compelling psychological thriller from the No.1 bestselling author of The Girl With No Past. Eighteen years ago  Simone Porterâs six-month-old daughter||Fore More You should read this books. Thanks
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85,1,3,ee61197edb882599,Books,0,0,Her eyes are wide open. Her lips parted as if to speak. Her dead body frozen in the iceâ¦She is not the only one. When a young boy discovers the body of a woman beneath a thick sheet of ice in a South London park  Detective Erika Foster is called in to lead the murder investigation. The victim  a beautiful young socialite||Fore More You should read this books. Thanks
Mystery,Blood Defense (Samantha Brinkman #1),20.3,1,3,95cdfd514098c38b,Books,0,0,First in a new series from bestselling author and famed O. J. Simpson trial prosecutor Marcia Clark  a âterrific writer and storytellerâ (James Patterson). Samantha Brinkman  an ambitious||Fore More You should read this books. Thanks
Mystery,1st to Die (Women's Murder Club #1),53.98,1,1,f684a82adc49f011,Books,0,0,James Patterson  bestselling author of the Alex Cross novels Along Came a Spider  Kiss the Girls||Fore More You should read this books. Thanks
Historical Fiction,Tipping the Velvet,53.74,20,1,90fa61229261140a,Books,0,0,"""Erotic and absorbing...Written with starling power.""--""The New York Times Book Review "" Nan King  an oyster girl  is captivated by the music hall phenomenon Kitty Butler||Fore More You should read this books. Thanks"
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,16,3,9beb96a2300109d7,Books,0,0,"A Proper Historical Romance seriesThe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized accounts based on real biographical and social history research.""A well-researched  emotionally charged tale. A love story...fit for the ages."" -Publishers Weekly.It's 1836  an A Proper Historical Romance seriesThe first book in a new series which will focus on the lives of real historical figures who have intriguing stories of courtship that are recreated in fictionalized accounts based on real biographical and social history research.""A well-researched||Fore More You should read this books. Thanks"
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53,16,5,3a6fb983e2554023,Books,0,0,October 1776--August 1777It is said that what a man sows he will reap--and for such a harvest there is no set season. No one connected to Reginald Aubrey is untouched by the crime he committed twenty years ago. Not William  the Oneida child Reginald stole and raised as his own. Identity shattered  enlisted in the British army||Fore More You should read this books. Thanks
Historical Fiction,The House by the Lake,36.95,15,1,9287e238d7c3b06e,Books,0,0,Anna is content with her well-ordered life in San Francisco. But her world is turned upside down when her beloved grandfather  Max  reveals a startling secret: Anna is part of an aristocratic family who lost everything during World War II. Whatâs more||Fore More You should read this books. Thanks
Historical Fiction,Mrs. Houdini,30.25,15,5,a40723994f715420,Books,0,0,A captivating debut novel  meticulously researched and beautifully imagined  about the passionate marriage of Harry and Bess Houdiniâa love story that defied death itself.Before escape artist Harry Houdini died||Fore More You should read this books. Thanks
Historical Fiction,The Marriage of Opposites,28.08,14,4,52cf2a5933ec5d8f,Books,0,0,From the New York Times bestselling author of The Dovekeepers and The Museum of Extraordinary Things: a forbidden love story set on the tropical island of St. Thomas about the extraordinary woman who gave birth to painter Camille Pissarro; the Father of Impressionism.Growing up on idyllic St. Thomas in the early 1800s  Rachel dreams of life in faraway Paris. Rachel's mothe From the New York Times bestselling author of The Dovekeepers and The Museum of Extraordinary Things: a forbidden love story set on the tropical island of St. Thomas about the extraordinary woman who gave birth to painter Camille Pissarro; the Father of Impressionism.Growing up on idyllic St. Thomas in the early 1800s  Rachel dreams of life in faraway Paris. Rachel's mother||Fore More You should read this books. Thanks
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84,14,3,de4b403cb629a29f,Books,0,0,From the author of the New York Times bestseller and beloved book club favorite The Kitchen House  a novel of family and long-buried secrets along the treacherous Underground Railroad.Jamie Pyke  son of both a slave and master of Tall Oakes||Fore More You should read this books. Thanks
Historical Fiction,"Love, Lies and Spies",20.55,12,2,9546d537fbf99eb6,Books,0,0,Juliana Telford is not your average nineteenth-century young lady. Sheâs much more interested in researching ladybugs than marriage  fashionable dresses  or dances. So when her father sends her to London for a season||Fore More You should read this books. Thanks
Historical Fiction,A Paris Apartment,39.01,12,4,63343e287971bb0c,Books,0,0,Bienvenue Ã  Paris!When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years  the Sotheby's continental furniture specialist does not hear the words âdustâ or âratsâ or âdecrepit.â She hears Paris. She hears escape.Once in France  April quickly learns the apartment is not merely Bienvenue Ã  Paris!When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years||Fore More You should read this books. Thanks
Historical Fiction,Lilac Girls,17.28,11,2,bade9943ee01b63f,Books,0,0,Inspired by the life of a real World War II heroine  this debut novel reveals a story of love  redemption||Fore More You should read this books. Thanks
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62,7,3,24933c712f0bca2f,Books,0,0,"""I am Catalina  Princess of Spain  daughter of the two greatest monarchs the world has ever known...and I will be Queen of England.""Thus||Fore More You should read this books. Thanks"
Historical Fiction,The Invention of Wings,37.34,6,1,e6635f5b0a2c78db,Books,0,0,Writing at the height of her narrative and imaginative gifts  Sue Monk Kidd presents a masterpiece of hope  daring||Fore More You should read this books. Thanks
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97,5,4,2e5b4ff08a75fd02,Books,0,0,Eighteen years after the publication of The Pillars of the Earth  Ken Follett has written the the long awaited sequel  World Without End. World Without End takes place in the same town of Kingsbridge||Fore More You should read this books. Thanks
Historical Fiction,The Passion of Dolssa,28.32,4,5,011674f4a3834b8d,Books,0,0,Dolssa is a young gentlewoman with uncanny gifts  on the run from an obsessed friar determined to burn her as a heretic for the passion she refuses to tame.Botille is a wily and charismatic peasant  a matchmaker running a tavern with her two sisters in a tiny seaside town.The year is 1241; the place||Fore More You should read this books. Thanks
Historical Fiction,Girl With a Pearl Earring,26.77,4,1,5eff05e59f905a49,Books,0,0,With precisely 35 canvases to his credit  the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life  with their subtle play of light and texture||Fore More You should read this books. Thanks
Historical Fiction,Voyager (Outlander #3),21.07,3,5,7feac4000cbc5859,Books,0,0,From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber  the extraordinary saga continues.Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before  she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber||Fore More You should read this books. Thanks
Historical Fiction,The Red Tent,35.66,3,5,3c456328b04a8ee8,Books,0,0,Her name is Dinah. In the Bible  her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father  Jacob||Fore More You should read this books. Thanks
Historical Fiction,The Last Painting of Sara de Vos,55.55,3,2,476c7972e9b41891,Books,0,0,This is what we long for: the profound pleasure of being swept into vivid new worlds  worlds peopled by characters so intriguing and real that we can't shake them  even long after the reading's done. In his earlier||Fore More You should read this books. Thanks
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53,3,1,4a0a276409968a73,Books,0,0,â I wonder how the book got to Guernsey? Perhaps there is some sort of secret homing instinct in books that brings them to their perfect readers.â January 1946: London is emerging from the shadow of the Second World War  and writer Juliet Ashton is looking for her next book subject. Who could imagine that she would find it in a letter from a man sheâs never met  a native o â I wonder how the book got to Guernsey? Perhaps there is some sort of secret homing instinct in books that brings them to their perfect readers.â January 1946: London is emerging from the shadow of the Second World War||Fore More You should read this books. Thanks
Historical Fiction,Girl in the Blue Coat,46.83,3,2,41fc5dce044f16f5,Books,0,0,Amsterdam  1943. Hanneke spends her days finding and delivering sought-after black market goods to paying customers  nights hiding the true nature of her work from her concerned parents||Fore More You should read this books. Thanks
Historical Fiction,Between Shades of Gray,20.79,3,5,155e42df837ee5ff,Books,0,0,Lina is just like any other fifteen-year-old Lithuanian girl in 1941. She paints  she draws  she gets crushes on boys. Until one night when Soviet officers barge into her home||Fore More You should read this books. Thanks
Historical Fiction,While You Were Mine,41.32,1,5,8ceb5c6aed2c5f8b,Books,0,0,Everything she loved could so easily be lost.The end of World War II should have brought joy to Gwen Mullen. But on V-J Day  her worst fear is realized. As celebrating crowds gather in Times Square  a soldier appears on her doorstep to claim Mary||Fore More You should read this books. Thanks
Historical Fiction,The Secret Healer,34.56,1,3,38f776ab9118aed7,Books,0,0,In the fourteenth century  opportunities for women are limited to the home. But spirited young Madlen finds her calling as assistant to the cityâs trusted midwife  Clara. Working alongside Clara||Fore More You should read this books. Thanks
Historical Fiction,Starlark,25.83,1,3,e25164e5b3fe208b,Books,0,0,On the morning of her wedding  Roma awakens to find that a 21st century eclipse has swept her through time and space to medieval Irelandâa land bedevilled with strife  conflict and danger at every possible turn. Soon caught up in an intricate spiderâs web of political intrigue||Fore More You should read this books. Thanks
Historical Fiction,Lost Among the Living,27.7,1,4,d510567580c8be52,Books,0,0,England  1921. Three years after her husband  Alex||Fore More You should read this books. Thanks
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97,1,5,19fec36a1dfb4c16,Books,0,0,In Englandâs Regency era  manners and elegance reign in public lifeâbut behind closed doors treason and tawdriness thrive. Nicholas Langdon is no stranger to reserved civility or bloody barbarity. After suffering a battlefield injury  the wealthy||Fore More You should read this books. Thanks
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,19,5,3b1c02bac2a429e6,Books,0,0,"Scott Pilgrim's life is totally sweet. He's 23 years old  he's in a rockband  he's ""between jobs"" and he's dating a cute high school girl. Nothing could possibly go wrong||Fore More You should read this books. Thanks"
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,16,1,09555be379ad9253,Books,0,0,DUAL WORLDS  DUAL SIGHTS In the land of Nirai Kanai  there are two realms||Fore More You should read this books. Thanks
Sequential Art,This One Summer,19.49,16,4,51653ef291ab7ddc,Books,0,0,Every summer  Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway  their refuge. Rosie's friend Windy is always there||Fore More You should read this books. Thanks
Sequential Art,The Nameless City (The Nameless City #1),38.16,16,4,7d385d34d12e60ff,Books,0,0,Every nation that invades the City gives it a new name. But before long  new invaders arrive and the City changes hands once again. The natives don't let themselves get caught up in the unending wars. To them  their home is the Nameless City||Fore More You should read this books. Thanks
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,16,2,53a3d11bb568cc8b,Books,0,0,Multiple storylines collide in this cosmos-spanning new volume. While Gwendolyn and Lying Cat risk everything to find a cure for The Will  Marko makes an uneasy alliance with Prince Robot IV to find their missing children  who are trapped on a strange world with terrifying new enemies. Collects Saga #25-30.||Fore More You should read this books. Thanks
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,16,3,c82a3e358c773c73,Books,0,0,Having survived the end of the world  the Queens follow Hannah back to where it all began: Mage University. A long perilous journey awaits the Rat Queens as they attempt to find out what happened to Hannah's father while battling their own demons. Collects RAT QUEENS #11-15||Fore More You should read this books. Thanks
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,16,5,0fa6dceead7ce47a,Books,0,0,"THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO!Special large-size 2-in-1 edition of over 400 pages!""One of the best anime and manga for beginners. Enthusiasm - geeky and otherwise - is power in Princess Jellyfish. Enthusiasm saves the day and paves the road to the future."" - Kotaku""Princess Jellyfish's ambition is simple: to tell a delightful story in a delightful way. THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO!Special large-size 2-in-1 edition of over 400 pages!""One of the best anime and manga for beginners. Enthusiasm - geeky and otherwise - is power in Princess Jellyfish. Enthusiasm saves the day and paves the road to the future."" - Kotaku""Princess Jellyfish's ambition is simple: to tell a delightful story in a delightful way... It's a pretty deadly one-two punch."" - Anime News Network""Loaded with heart  soul  humor and insight."" - About.comSTINGING BEAUTY Tsukimi Kurashita has a strange fascination with jellyfish. Sheâs loved them from a young age and has carried that love with her to her new life in the big city of Tokyo. There||Fore More You should read this books. Thanks"
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97,16,1,e80f8e518b300dfe,Books,0,0,"""Pop Gun War is about childhood  self-discovery  oppression||Fore More You should read this books. Thanks"
Sequential Art,Patience,10.16,16,3,9429b4d59c537af5,Books,0,0,Patience is a psychedelic science-fiction love story  veering with uncanny precision from violent destruction to deeply personal tenderness in a way that is both quintessentially âClowesianâ and utterly unique in the authorâs body of work. This 180-page  full-color original graphic novel affords Clowes the opportunity to draw some of the most exuberant and breathtaking pag Patience is a psychedelic science-fiction love story||Fore More You should read this books. Thanks
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,16,4,889139b8e9c4cb36,Books,0,0,NEW HORROR SERIES FROM THE WALKING DEAD CREATOR ROBERT KIRKMAN! Kyle Barnes has been plagued by demonic possession all his life and now he needs answers. Unfortunately  what he uncovers along the way could bring about the end of life on Earth as we know it. Collects OUTCAST BY KIRKMAN & AZACETA #1-6.||Fore More You should read this books. Thanks
